|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 27.88 | Female |              66.83 |       1.67 |  157.57 |                     0.62 |          614.36 | Strength     | 24.741743926330567 |  166.74 |              66.22 |              43.89 |   1811.0 |    23.96 | Vegetarian |             1196.64 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 19.41 | Male   |              73.86 |       1.77 |  137.14 |                     1.28 |          920.83 | Yoga         |   25.1670479218681 |  341.39 |             136.25 |              91.05 |   1709.0 |    23.58 | Low-Carb   |              788.17 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 47.94 | Male   |              72.56 |       1.83 |  131.11 |                     1.04 |          749.42 | Yoga         | 24.012816589075225 |  230.59 |              91.96 |              61.45 |   1981.0 |    21.67 | Keto       |             1231.58 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 45.59 | Male   |             108.62 |       1.64 |  169.39 |                      1.4 |          1386.0 | Strength     |               35.0 |  257.73 |             103.32 |              68.58 |   2996.0 |    40.39 | Balanced   |              1610.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 57.93 | Male   |              74.99 |       1.69 |  162.03 |                     1.28 |         1226.75 | Cardio       |  28.07352880079829 |  187.91 |              74.97 |              50.38 |   2130.0 |    26.26 | Paleo      |              903.25 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 50.13 | Female |              80.81 |       1.77 |  129.32 |                     1.86 |      2540.67625 | HIIT         | 21.658134841789675 |  213.18 |              84.99 |              56.81 |   2099.0 |    25.79 | Low-Carb   |  -564.8899999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 55.85 | Male   |              59.03 |       1.56 |  154.99 |                     1.25 |         1648.62 | HIIT         |  23.84054067841636 |  304.35 |             122.13 |              81.16 |   1720.0 |    24.26 | Low-Carb   |   71.38000000000011 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 54.84 | Male   |              52.21 |       1.68 |  167.26 |                     0.76 |          501.14 | Yoga         | 23.074414626274702 |  215.71 |              86.91 |              57.65 |   1421.0 |     18.5 | Paleo      |              919.86 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 47.36 | Male   |              49.34 |       1.69 |  146.89 |                     1.47 |         1938.78 | HIIT         | 16.958748384860257 |   250.7 |              99.39 |              66.57 |   1295.0 |    17.28 | Keto       |             -643.78 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 56.98 | Female |              86.47 |       1.69 |  132.48 |                     1.76 |         2060.78 | Strength     |  30.41902349929232 |  199.09 |              80.31 |              53.42 |   2423.0 |    30.28 | Keto       |   362.2199999999998 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 52.81 | Male   |              68.47 |       1.97 |  139.16 |                      1.3 |         1718.86 | HIIT         |   21.7564104173255 |  237.14 |              95.29 |              63.84 |   1658.0 |    17.64 | Paleo      |   -60.8599999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.49 | Female |              85.41 |       1.89 |  140.08 |                     0.78 |           943.8 | HIIT         | 24.147356433166976 |  189.25 |              75.63 |              49.91 |   2211.0 |    23.91 | Vegan      |              1267.2 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 46.98 | Male   |              88.14 |        1.6 |   125.8 |                     1.86 |          2176.2 | Strength     |  31.42300917548504 |  313.85 |             125.89 |              84.12 |   2438.0 |    34.43 | Keto       |   261.8000000000002 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  38.2 | Male   |              72.05 |       1.77 |  142.49 |                     1.12 |          737.86 | Yoga         | 24.926948625977936 |   211.8 |               84.1 |              56.47 |   1780.0 |     23.0 | Paleo      |             1042.14 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 50.15 | Male   |              66.44 |       1.57 |  131.79 |                     1.25 |         1513.88 | HIIT         |  30.30400481308063 |  249.51 |             100.19 |              66.58 |   1674.0 |    26.95 | Low-Carb   |   160.1199999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 21.69 | Male   |              62.01 |       1.84 |  140.37 |                     0.51 |          448.39 | Cardio       | 25.508162432494405 |   210.4 |              84.85 |              55.89 |   1723.0 |    18.32 | Paleo      |             1274.61 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 22.28 | Female |              78.65 |       1.52 |  165.68 |                     1.45 |          1914.0 | HIIT         | 32.752328512308445 |  312.42 |             124.86 |              82.68 |   2057.0 |    34.04 | Vegan      |               143.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  31.9 | Male   |              87.94 |       1.88 |  143.11 |                     1.52 |          1580.8 | Cardio       | 24.725515849968428 |  217.54 |              87.06 |              57.67 |   2485.0 |    24.88 | Low-Carb   |               904.2 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 25.03 | Female |              46.53 |       1.71 |  142.35 |                      0.9 |           891.0 | Strength     | 18.548112690029026 |   318.3 |              126.8 |               85.0 |   1222.0 |    15.91 | Keto       |               331.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 34.43 | Female |              68.47 |       1.67 |  128.15 |                     0.68 |          823.55 | HIIT         | 26.500420851875266 | 399.515 | 159.92374999999998 | 106.32750000000001 |   1710.0 |    24.55 | Paleo      |              886.45 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  18.0 | Female |              61.23 |       1.79 |   125.8 |                      1.1 |         1089.99 | Strength     |  21.84508977635356 |  199.42 |               79.7 |              53.42 |   1623.0 |    19.11 | Paleo      |              533.01 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.89 | Male   |              57.24 |       1.71 |  142.72 |                     1.87 |          1943.3 | Cardio       | 22.975653288621714 |  192.62 |              76.41 |              50.69 |   1646.0 |    19.58 | Low-Carb   | -297.29999999999995 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.76 | Male   |              87.47 |       1.87 |  134.34 |                     1.96 |         1525.27 | Yoga         | 25.862773475093057 |  152.88 |              61.28 |              40.03 |   2408.0 |    25.01 | Paleo      |              882.73 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 21.99 | Male   |              45.72 |       1.72 |  131.82 |                     1.49 |         1074.59 | Yoga         | 17.785634040009842 |  175.71 |              71.04 |              47.61 |   1301.0 |    15.45 | Vegan      |  226.41000000000008 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 59.12 | Male   |              88.13 |       1.76 |  168.09 |                     1.35 |          1782.0 | HIIT         |   27.3229646988125 |  291.08 |             116.54 |              77.96 |   2370.0 |    28.45 | Low-Carb   |               588.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 44.02 | Female |              83.37 |       1.79 |  154.28 |                     1.51 |         1571.61 | Cardio       | 27.208206926192148 |  375.72 |             149.28 |             100.54 |   2316.0 |    26.02 | Low-Carb   |   744.3900000000001 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  49.5 | Male   |              56.14 |        1.6 |   140.2 |                     1.89 |          2213.0 | Strength     | 24.244944615693303 |  213.71 |              85.63 |              57.26 |   1688.0 |    21.93 | Balanced   |              -525.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 46.25 | Female |              74.94 |       1.53 |   151.0 |                      1.3 |          1248.0 | Cardio       |  33.11831786011005 |   301.1 |             121.66 |              80.87 |   2096.0 |    32.01 | Paleo      |               848.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 43.43 | Male   |              40.64 |       1.74 |  142.89 |                      1.5 |          1080.9 | Yoga         |  13.23271300905122 |   224.0 |               89.5 |              60.07 |   1349.0 |    13.42 | Vegan      |   268.0999999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 22.95 | Male   |              65.41 |        1.7 |  125.22 |                     0.52 |          458.02 | Cardio       |  26.24267472075316 |   191.3 |              77.12 |              51.34 |   1700.0 |    22.63 | Balanced   |             1241.98 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 42.75 | Female |              82.78 |       1.95 |  159.67 |                     1.89 |      2540.67625 | HIIT         |  24.33675575755405 |  276.62 |             111.18 |              74.52 |   2266.0 |    21.77 | Keto       |  -436.6999999999998 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.99 | Male   |               63.5 |        2.0 |  161.41 |                     1.43 |          1544.4 | Strength     |  18.76834583458885 |  245.78 |              97.16 |              65.36 |   1765.0 |    15.88 | Vegan      |   220.5999999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 58.26 | Male   |              74.44 |       1.75 |  137.16 |                     1.08 |          712.15 | Yoga         |  23.26716187840696 |  198.61 |              79.12 |              52.23 |   1898.0 |    24.31 | Low-Carb   |             1185.85 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 19.21 | Female |               65.2 |       1.52 |  130.06 |                     1.22 |          1208.9 | Strength     |  32.76245701322377 |  169.44 |              68.97 |              46.07 |   1699.0 |    28.22 | Low-Carb   |   490.0999999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 45.19 | Male   |              57.42 |       1.55 |  121.58 |                     1.67 |          1302.6 | Yoga         |  24.93723265744658 |  211.14 |              84.24 |              56.52 |   1540.0 |     23.9 | Keto       |   237.4000000000001 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 22.51 | Male   |               71.4 |       1.77 |  157.86 |                     1.49 |           983.4 | Yoga         | 23.254475500241377 |  245.15 |              98.74 |              65.18 |   2032.0 |    22.79 | Paleo      |              1048.6 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 37.85 | Male   |              83.23 |       1.74 |   150.8 |                     1.66 |          2373.8 | HIIT         |  31.20593941542648 |  246.05 |               97.7 |              65.26 |   2401.0 |    27.49 | Vegan      |   27.19999999999981 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 53.38 | Female |              78.13 |        1.6 |  144.61 |                      1.1 |         1056.88 | Cardio       |  29.45943937533969 |  175.48 |              69.92 |              46.98 |   2122.0 |    30.52 | Vegan      |             1065.12 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 58.37 | Male   |              76.01 |       1.79 |  139.97 |                     1.05 |          755.37 | Yoga         |  24.69303114304616 |  153.87 |              61.66 |              40.79 |   2069.0 |    23.72 | Balanced   |             1313.63 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  52.7 | Female |              51.23 |        1.7 |  151.97 |                     1.15 |          1242.0 | Strength     | 20.430187894930697 |  368.11 |              147.1 |              97.99 |   1356.0 |    17.73 | Vegan      |               114.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 25.88 | Male   |              54.14 |       1.65 |  120.75 |                     1.08 |         1167.37 | Strength     | 23.564165941449225 |  214.27 |              86.91 |              57.42 |   1593.0 |    19.89 | Balanced   |   425.6300000000001 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 38.94 | Female |               85.9 |       1.82 |  159.78 |                     1.96 |         1527.62 | Yoga         |  27.94679067828368 |  252.96 |             100.21 |              66.97 |   2441.0 |    25.93 | Vegetarian |              913.38 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 30.98 | Female |              64.85 |        1.7 |  143.88 |                     1.98 |         2054.45 | Cardio       |  25.82312735647476 |  336.38 |             134.46 |              89.85 |   1799.0 |    22.44 | Keto       | -255.44999999999985 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 27.94 | Male   |             128.16 |       1.86 |  158.24 |                     1.07 |          1027.2 | Cardio       |  34.87048610493733 |   169.6 |              68.95 |              45.49 |   3337.0 |    37.04 | Vegetarian |              2309.8 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 52.34 | Male   |               65.7 |       1.55 |  139.07 |                     1.78 |         1854.05 | Cardio       |  25.34835663458876 |  199.55 |               79.9 |              53.37 |   1708.0 |    27.35 | Keto       | -146.04999999999995 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 46.77 | Male   |               89.5 |       1.84 |   158.8 |                     1.43 |         1369.37 | Cardio       |  28.47885885418397 |  309.11 |             123.68 |              82.66 |   2354.0 |    26.44 | Vegetarian |              984.63 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 52.86 | Male   |              74.18 |       1.55 |  152.83 |                     1.18 |         1129.97 | Cardio       |  33.95534393428176 |  306.11 |             122.11 |              82.07 |   2042.0 |    30.88 | Balanced   |              912.03 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 35.09 | Female |              55.21 |       1.56 |  138.66 |                     1.71 |          2445.3 | HIIT         |  24.55167796286953 |   204.1 |              81.52 |              54.02 |   1590.0 |    22.69 | Paleo      |  -855.3000000000002 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 57.59 | Female |             108.69 |       1.91 |  155.73 |                     1.51 |         1632.16 | Strength     |  31.22854964369639 |  305.12 |             122.69 |              81.49 |   3004.0 |    29.79 | Paleo      |             1371.84 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 38.34 | Female |              50.02 |       1.51 |  145.01 |                     1.25 |         1235.25 | Strength     | 24.810621979484207 |  207.57 |              83.11 |               55.5 |   1352.0 |    21.94 | Keto       |              116.75 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  51.9 | Male   |              59.78 |       1.68 |  124.52 |                     1.59 |         2275.45 | HIIT         |  19.50482943563651 |  345.13 |             137.36 |               92.4 |   1785.0 |    21.18 | Keto       |  -490.4499999999998 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 27.88 | Female |              51.71 |       1.61 |  163.76 |                     1.33 |         1758.53 | HIIT         |  21.98236475184104 |  242.14 |              96.15 |               63.9 |   1491.0 |    19.95 | Balanced   |             -267.53 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 32.08 | Female |              70.57 |       1.62 |  121.97 |                     1.25 |         1509.75 | HIIT         | 26.982126520201657 |   201.9 |              80.71 |               53.4 |   1788.0 |    26.89 | Keto       |              278.25 |
